Unnamed: 0,result,table,_time,_start,_stop,_measurement,dest_ip,protocol,source_ip,dns_rate,inter_arrival_time,label,request_rate,anomaly,reconstruction_error
38,_result,0,2025-06-04 00:59:35.124987+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,3,0.061325,0,16.306563391765184,0,0.0007193322581599014
39,_result,0,2025-06-04 00:59:35.126578+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,4,0.001591,1,628.5355122564425,1,1.3870336777862071
40,_result,0,2025-06-04 00:59:41.794019+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,6.667441,0,0.14998257952338837,0,0.0011734157201525298
41,_result,0,2025-06-04 00:59:41.799834+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.005815,1,171.96904557179707,1,0.10832720074753274
42,_result,0,2025-06-04 00:59:46.419269+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,1,4.619435,0,0.21647669033117686,0,0.0009247840212101234
43,_result,0,2025-06-04 00:59:46.549617+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,2,0.130348,0,7.67177095160647,0,0.0007678526361849028
44,_result,0,2025-06-04 00:59:47.026131+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,3,0.476514,0,2.098574228669042,0,0.0010065503991826073
45,_result,0,2025-06-04 00:59:47.072139+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,4,0.046008,0,21.735350373848025,0,0.0009989405256849038
46,_result,0,2025-06-04 00:59:47.807730+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,5,0.735591,0,1.3594511080206255,0,0.0009793764012710454
47,_result,0,2025-06-04 00:59:47.830411+00:00,2025-06-03 06:57:54.867566+00:00,2025-06-10 06:57:54.867566+00:00,dns,192.168.1.1,DNS,192.168.1.205,6,0.022681,0,44.08976676513381,0,0.004759026933355124
